Scenario,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Latency (ms),Throughput (samples/sec),Memory (MB)
Scenario 1: Normal + Known Attack,0.8366666666666667,1.0,0.02,0.0392156862745098,0.0,0.98,101.63914700349171,9.838728772149631,386.49609375
Scenario 2: Normal + Novel Attack,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,96.44801020622253,10.368280256501166,387.25390625
Scenario 3: Normal + Known + Novel Attack,0.7171428571428572,1.0,0.01,0.019801980198019802,0.0,0.99,124.76939593042647,8.014785938032569,187.4375
